dim,scenario,algorithm,run,seed,success,length,time,firstSolutionTime,tPlanner,tShortcut,tPre,tOpt,nodes,iterations,turnSum,minClear,straightness,escapes,sideFlips,fallback
2d,狭窄,AB-IRRT*,19,20262922,1,212.885244,0.052788,0.007447,0.045005,0.000000,0.007447,0.045215,1107.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,20,20262923,1,279.791130,0.008295,0.008162,0.008295,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,20,20262923,1,212.885244,0.062304,0.006299,0.055708,0.000000,0.006299,0.055883,1086.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,21,20262924,1,279.791130,0.009354,0.009197,0.009354,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,21,20262924,1,212.885244,0.081626,0.008084,0.073282,0.000000,0.008084,0.073427,1218.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,22,20262925,1,279.791130,0.006958,0.006846,0.006958,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,22,20262925,1,212.885244,0.029922,0.006348,0.023247,0.000000,0.006348,0.023441,182.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,23,20262926,1,279.791130,0.007507,0.007397,0.007507,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,23,20262926,1,212.885244,0.026507,0.010634,0.015464,0.000000,0.010634,0.015661,189.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,24,20262927,1,279.791130,0.009945,0.009768,0.009945,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,24,20262927,1,212.885244,0.018833,0.006586,0.012021,0.000000,0.006586,0.012147,152.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,25,20262928,1,279.791130,0.005826,0.005700,0.005826,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
2d,狭窄,AB-IRRT*,25,20262928,1,212.885244,0.036583,0.019069,0.017211,0.000000,0.019069,0.017389,179.0,2000.0,2.346565,0.316946,0.956603,3.0,5.0,0
2d,狭窄,APF-only,26,20262929,1,279.791130,0.008769,0.008637,0.008769,NaN,NaN,NaN,NaN,64.0,46.450218,0.063261,0.727853,3.0,5.0,0
