dim,scenario,seed,margin,reactiveOK,fallback,kind,iters,escapes,sideFlips,cycles,time,length
2d,广阔,20261909,0.50,1,0,reactiveOnly,62,1,4,4,0.0014,261.236
2d,广阔,20261910,0.50,1,0,reactiveOnly,62,1,4,4,0.0019,261.236
3d,一般,20261901,0.50,0,0,reactiveOnly,100,5,13,13,0.0168,NaN
3d,一般,20261902,0.50,0,0,reactiveOnly,100,5,13,13,0.0204,NaN
3d,一般,20261903,0.50,0,0,reactiveOnly,100,5,13,13,0.0201,NaN
3d,一般,20261904,0.50,0,0,reactiveOnly,100,5,13,13,0.0101,NaN
3d,一般,20261905,0.50,0,0,reactiveOnly,100,5,13,13,0.0124,NaN
3d,一般,20261906,0.50,0,0,reactiveOnly,100,5,13,13,0.0187,NaN
3d,一般,20261907,0.50,0,0,reactiveOnly,100,5,13,13,0.0108,NaN
3d,一般,20261908,0.50,0,0,reactiveOnly,100,5,13,13,0.0111,NaN
3d,一般,20261909,0.50,0,0,reactiveOnly,100,5,13,13,0.0106,NaN
3d,一般,20261910,0.50,0,0,reactiveOnly,100,5,13,13,0.0141,NaN
3d,狭窄,20261901,0.50,1,0,reactiveOnly,52,1,8,8,0.0038,341.292
3d,狭窄,20261902,0.50,1,0,reactiveOnly,52,1,8,8,0.0049,341.292
3d,狭窄,20261903,0.50,1,0,reactiveOnly,52,1,8,8,0.0038,341.292
3d,狭窄,20261904,0.50,1,0,reactiveOnly,52,1,8,8,0.0057,341.292
3d,狭窄,20261905,0.50,1,0,reactiveOnly,52,1,8,8,0.0052,341.292
3d,狭窄,20261906,0.50,1,0,reactiveOnly,52,1,8,8,0.0040,341.292
3d,狭窄,20261907,0.50,1,0,reactiveOnly,52,1,8,8,0.0033,341.292
3d,狭窄,20261908,0.50,1,0,reactiveOnly,52,1,8,8,0.0051,341.292
