variant,scenario,run,seed,success,length,time,firstSolutionTime,tPre,tOpt,nodes,turnSum,minClear,escapes,sideFlips,fallback
w/o ellipse seeding,一般,18,20261921,1,267.555525980714,0.4601115,0.0048559,0.0048559,0.4551582,4203,4.48776192095587,0.471096383621726,0,5,0
w/o path-bias sampling,一般,18,20261921,1,265.109050169133,0.4461225,0.0050404,0.0050404,0.4409816,3924,2.3864888784857,0.337768312051125,0,5,0
w/o dynamic rewiring,一般,18,20261921,1,270.461828084173,0.5191826,0.0049016,0.0049016,0.5141541,4181,6.04129221728794,1.20114282352399,0,5,0
AB-IRRT* (full),一般,18,20261921,1,264.552243695928,0.4560469,0.0048217,0.0048217,0.4511245,3864,2.4476661878445,0.451377232062891,0,5,0
APF-only,一般,19,20261922,1,442.385244950109,0.0044067,0.0043055,0.0044067,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,19,20261922,1,280.675662611981,0.4950354,0.0110472,0,0.4950354,4371,7.15505804403869,1.78840440280023,NaN,NaN,0
w/o seed shortcutting,一般,19,20261922,1,268.507848098434,0.4407556,0.0043978,0.0043978,0.4362595,4356,3.88627288405611,0.965348213007678,0,5,0
w/o ellipse seeding,一般,19,20261922,1,269.325738181615,0.4321512,0.0049693,0.0049693,0.4270814,4355,4.8228073944251,1.70489248218937,0,5,0
w/o path-bias sampling,一般,19,20261922,1,267.087260694929,0.4199781,0.0046701,0.0046701,0.4152053,3920,2.60676237258243,0.0641246506930101,0,5,0
w/o dynamic rewiring,一般,19,20261922,1,276.853248435528,0.5226423,0.0066899,0.0066899,0.515627,4185,1.94771587565652,0.292802083782291,0,5,0
AB-IRRT* (full),一般,19,20261922,1,273.592266877595,0.4186607,0.0044167,0.0044167,0.4141413,4162,4.60794181420048,1.23311117977534,0,5,0
APF-only,一般,20,20261923,1,442.385244950109,0.0040173,0.0039337,0.0040173,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,20,20261923,1,281.73643203827,0.4971607,0.009793,0,0.4971607,4385,9.13441154094186,0.667812550281106,NaN,NaN,0
w/o seed shortcutting,一般,20,20261923,1,273.133735376156,0.4609091,0.0049928,0.0049928,0.4558011,4347,4.39798411848246,0.200010477062856,0,5,0
w/o ellipse seeding,一般,20,20261923,1,268.025204013297,0.4862288,0.0081801,0.0081801,0.4778659,4238,4.33682987680074,0.660341235297989,0,5,0
w/o path-bias sampling,一般,20,20261923,1,264.215816413575,0.4944084,0.0079946,0.0079946,0.4862498,3943,2.46967500990203,0.0835957480788636,0,5,0
w/o dynamic rewiring,一般,20,20261923,1,270.181812099993,0.5647786,0.0065216,0.0065216,0.5581391,4252,5.30913925425458,1.14086744049746,0,5,0
AB-IRRT* (full),一般,20,20261923,1,264.861727463711,0.5020112,0.0071596,0.0071596,0.4947187,4028,2.72832342098609,0.318074112636894,0,5,0
APF-only,一般,21,20261924,1,442.385244950109,0.0050071,0.0048928,0.0050071,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,21,20261924,1,281.015564366526,0.5320701,0.0077821,0,0.5320701,4302,10.2846240934754,0.561921618981586,NaN,NaN,0
w/o seed shortcutting,一般,21,20261924,1,270.256643524492,0.5053933,0.0046796,0.0046796,0.5005816,4281,3.33198157905269,0.501783630320034,0,5,0
w/o ellipse seeding,一般,21,20261924,1,274.720261170084,0.5032554,0.0064841,0.0064841,0.4966487,4329,5.72817745721621,0.114371495901276,0,5,0
w/o path-bias sampling,一般,21,20261924,1,266.046180093339,0.4720408,0.0062378,0.0062378,0.4656822,3897,2.79077190409971,0.81538127474197,0,5,0
w/o dynamic rewiring,一般,21,20261924,1,276.853248435528,0.5316303,0.0055912,0.0055912,0.5259279,4206,1.94771587565652,0.292802083782291,0,5,0
AB-IRRT* (full),一般,21,20261924,1,266.411992066073,0.477992,0.0082094,0.0082094,0.4696416,3993,3.01919995720544,0.35020104577027,0,5,0
APF-only,一般,22,20261925,1,442.385244950109,0.0064237,0.0062984,0.0064237,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,22,20261925,1,301.921026580779,0.4652956,0.0100109,0,0.4652956,4191,11.1947458364393,0.164005696182006,NaN,NaN,0
w/o seed shortcutting,一般,22,20261925,1,267.525271987588,0.4962502,0.0055436,0.0055436,0.4905939,4329,3.48751859431938,0.101754769145082,0,5,0
w/o ellipse seeding,一般,22,20261925,1,272.502160558138,0.4587643,0.0053937,0.0053937,0.4532527,4434,4.90593211298458,0.69771707728822,0,5,0
w/o path-bias sampling,一般,22,20261925,1,269.624149451386,0.4219006,0.0049333,0.0049333,0.4168649,4189,3.20274173549966,1.06207483379011,0,5,0
w/o dynamic rewiring,一般,22,20261925,1,271.022546026328,0.5134814,0.0057422,0.0057422,0.507624,4249,6.93168175076743,0.0371962183849508,0,5,0
AB-IRRT* (full),一般,22,20261925,1,266.715801290916,0.455639,0.0078691,0.0078691,0.4476211,4111,2.96795311470852,0.580014290665878,0,5,0
APF-only,一般,23,20261926,1,442.385244950109,0.0040555,0.0039741,0.0040555,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,23,20261926,1,277.688515808712,0.4761792,0.0086702,0,0.4761792,4302,8.3084226037057,0.339568905391448,NaN,NaN,0
w/o seed shortcutting,一般,23,20261926,1,265.61806305456,0.453447,0.0044575,0.0044575,0.4488899,4101,3.26837335612606,0.279371375788699,0,5,0
w/o ellipse seeding,一般,23,20261926,1,265.354055796868,0.4521544,0.0074562,0.0074562,0.4445699,4064,3.2523756928666,0.173603279350783,0,5,0
w/o path-bias sampling,一般,23,20261926,1,265.485290914086,0.4201355,0.0049257,0.0049257,0.4151131,3874,3.51578983368705,0.252657934776838,0,5,0
w/o dynamic rewiring,一般,23,20261926,1,270.643657695963,0.471408,0.0051663,0.0051663,0.4661321,4089,6.08430770721156,0.328903894493214,0,5,0
AB-IRRT* (full),一般,23,20261926,1,265.374026416852,0.4217594,0.0051039,0.0051039,0.4165471,3875,2.46492961827099,0.142296151718858,0,5,0
APF-only,一般,24,20261927,1,442.385244950109,0.004344,0.004246,0.004344,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,24,20261927,1,321.165479947981,0.3427671,0.0116159,0,0.3427671,3861,11.7102094827277,1.85559164498051,NaN,NaN,0
w/o seed shortcutting,一般,24,20261927,1,265.12409244745,0.4381378,0.0043862,0.0043862,0.4336493,4159,2.80406332548704,0.878451223208437,0,5,0
w/o ellipse seeding,一般,24,20261927,1,263.811378423176,0.4997482,0.0052586,0.0052586,0.4943767,3929,1.74487868701705,1.01801734949241,0,5,0
w/o path-bias sampling,一般,24,20261927,1,265.009307397338,0.4934972,0.0045832,0.0045832,0.4888094,4058,3.38997996799656,0.527295947347787,0,5,0
w/o dynamic rewiring,一般,24,20261927,1,269.609012365558,0.4891972,0.005276,0.005276,0.4837992,4131,5.34052171460396,0.324453198039251,0,5,0
AB-IRRT* (full),一般,24,20261927,1,263.480520345184,0.5057751,0.0059102,0.0059102,0.499734,3885,1.43687117460308,0.0151200551095307,0,5,0
APF-only,一般,25,20261928,1,442.385244950109,0.0057948,0.0056655,0.0057948,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,25,20261928,1,283.081763160408,0.5706148,0.0155556,0,0.5706148,4376,9.68033697721694,1.40748053809418,NaN,NaN,0
w/o seed shortcutting,一般,25,20261928,1,268.1796680944,0.5244276,0.0056553,0.0056553,0.5186474,4328,5.17826518612013,0.806591337481459,0,5,0
w/o ellipse seeding,一般,25,20261928,1,274.797676359886,0.5295145,0.0084097,0.0084097,0.5209587,4389,6.68751611888914,0.0548784349535367,0,5,0
w/o path-bias sampling,一般,25,20261928,1,265.889272332746,0.4649533,0.0079075,0.0079075,0.4568774,4018,3.81572209323588,0.634416663274761,0,5,0
w/o dynamic rewiring,一般,25,20261928,1,268.415873291156,0.5441594,0.0070076,0.0070076,0.5370101,4255,5.20665229416813,0.437880377094221,0,5,0
AB-IRRT* (full),一般,25,20261928,1,265.50493702864,0.4674516,0.0045727,0.0045727,0.4627762,4095,2.80702228669525,0.315716419293087,0,5,0
APF-only,一般,26,20261929,1,442.385244950109,0.0060668,0.0059464,0.0060668,0,NaN,38.6413649792452,0.185991746715437,0,5,0
Informed-RRT*,一般,26,20261929,1,276.827262936715,0.5123668,0.0131694,0,0.5123668,4325,6.67916302668272,1.10837444500858,NaN,NaN,0
w/o seed shortcutting,一般,26,20261929,1,266.943843994794,0.4399644,0.0052889,0.0052889,0.4345646,4265,4.70239940273701,0.0879975450169823,0,5,0
